"DATE","PRECIP","PET","TEMP","FLOW_mmday","FLOW_cumecs"
1967-12-28,0.99030025121,0.421342924044,4.23244047600002,0.719692439128578,1.95
1967-12-29,0,0.487218221029,2.50073728400002,0.708620247757369,1.92
1967-12-30,0.985925065595,0.240543993004,1.31665313900004,0.712310978214438,1.93
1967-12-31,5.52796916526,0.207466026405,1.91992356600002,0.712310978214438,1.93
1968-01-01,4.43154760175,0.00144290214493,2.12810470800002,0.763981204613413,2.07
1968-01-02,3.34762562811,0.154864406173,2.88096252700001,0.756599743699274,2.05
1968-01-03,0.0714175251833,0.123520739667,4.15717329500001,0.752909013242204,2.04
1968-01-04,8.53543774326,0.698828825187,1.97193925900001,0.745158479282358,2.019
1968-01-05,2.79449092513,0,4.30238095200002,0.804579239641179,2.18
1968-01-06,8.53878475841,0.481156584504,4.03105722400005,0.786125587355831,2.13
1968-01-07,0.00648879559101,0.512405593674,1.64006020000005,0.786125587355831,2.13
1968-01-08,17.8133430008,0.43410782587,-0.591372429999979,0.782434856898761,2.12
1968-01-09,0.173667041237,0,-0.600047347999975,0.79350704826997,2.15
1968-01-10,0.0991336945717,0.488045498406,-3.27065408499999,0.771362665527552,2.09
1968-01-11,0,0.147694872571,-2.98140557399995,0.771362665527552,2.09
1968-01-12,1.65662499878,0.180876727744,-2.75903679699996,0.771362665527552,2.09
1968-01-13,4.47644715666,0.554139174424,1.94907670500004,0.800888509184109,2.17
1968-01-14,1.19975388097,0,5.61641977800002,0.974352840666382,2.64
1968-01-15,0.309634888824,1.4277663458,9.06558779800002,0.885775309696711,2.4
1968-01-16,3.03569904909,0,7.88299174799999,0.89315677061085,2.42
1968-01-17,0.161493665212,1.18636833951,7.33997226700001,0.889466040153781,2.41
1968-01-18,2.94346612637,0.0149438484407,6.62128990800005,0.904228961982059,2.45
1968-01-19,0,0.231044571121,8.26500947,0.918991883810338,2.49
1968-01-20,0.100908927088,0.0181511139973,6.65069669900004,0.937445536095686,2.54
1968-01-21,0,0.0387504585894,4.80190746800002,0.952208457923964,2.58
1968-01-22,0,0.00166934806031,2.49630681800005,0.978043571123452,2.65
1968-01-23,0,0.392640084931,1.56927421500001,0.970662110209312,2.63
1968-01-24,0.493336913949,0.478285058752,2.97806074100004,1.01126014523708,2.74
1968-01-25,0.262916065416,0.322574499882,5.740777192,1.00018795386587,2.71
1968-01-26,0,0.668309331456,7.35867491900001,1.00018795386587,2.71
1968-01-27,1.34650893848,0.574855391597,6.09232278100001,1.00018795386587,2.71
1968-01-28,0.19272777645,0.338488128794,3.75880343600005,1.00018795386587,2.71
1968-01-29,0.735410080407,0.529161956919,2.56721117400002,1.00018795386587,2.71
1968-01-30,0.0216422395302,0,5.04724026000002,1.00387868432294,2.72
1968-01-31,0.90214192937,0.163280057701,8.15781588200002,1.00387868432294,2.72
1968-02-01,0.795184250194,0.711955611324,3.49669575200005,1.00387868432294,2.72
1968-02-02,0.860219559343,0.513260911553,3.60001691000002,1.00756941478001,2.73
1968-02-03,1.25461158012,0.322704364727,0.798237959999994,1.00018795386587,2.71
1968-02-04,8.10120794798,0.562494979792,-0.684953327999949,1.04078598889364,2.82
1968-02-05,13.8248957431,0.00855638918939,1.10857345800002,1.2031781290047,3.26
1968-02-06,0.979641130795,0.370939378615,1.73315070300004,1.07031183255019,2.9
1968-02-07,0,0.167209344509,1.29904964800005,1.0444767193507,2.83
1968-02-08,0.68181952589,0.363017325794,0.303125000000023,1.01126014523708,2.74
1968-02-09,0.111233150725,0,0.782765152000025,1.00018795386587,2.71
1968-02-10,0.00129869419242,0.231523967925,2.51269277599999,0.944826997009825,2.56
1968-02-11,2.1394556748,0.53472596536,2.12583874500001,1.01495087569415,2.75
1968-02-12,0.643287897075,0.390554584982,3.390787338,1.02971379752243,2.79
1968-02-13,7.57944464657,0,3.85355113600002,1.05554891072191,2.86
1968-02-14,0.206484548403,0.118006751651,4.23294778100001,1.05185818026484,2.85
1968-02-15,0.00735053819246,0.538268382415,1.58682697500001,1.02971379752243,2.79
1968-02-16,0,0.333804935604,1.61709618500004,1.01864160615122,2.76
1968-02-17,0,0.446953678544,2.97364718600005,1.01864160615122,2.76
1968-02-18,0,0.380492932869,1.47680938900004,1.01495087569415,2.75
1968-02-19,0,0.214500955689,0.857964691999996,1.01495087569415,2.75
1968-02-20,0,0.32051525694,-0.905326704999993,1.01864160615122,2.76
1968-02-21,1.68402625617,0.0230882074926,0.0634402059999957,1.02971379752243,2.79
1968-02-22,0.0250769516972,0.660399201628,1.60008455100001,1.01864160615122,2.76
1968-02-23,0,0.972866966611,1.48139204500001,1.00756941478001,2.73
1968-02-24,0,0.798223916586,-0.382633252000005,1.00387868432294,2.72
1968-02-25,0,0.979905165635,0.283458469000038,1.00018795386587,2.71
1968-02-26,0,0.7572226256,0.815131223000037,1.00018795386587,2.71
1968-02-27,0,0.835073892172,1.53000879300004,1.00018795386587,2.71
1968-02-28,0,0.570617807892,1.71050798200002,0.99280649295173,2.69
1968-02-29,0,0.33869792063,-0.381500270999993,1.01126014523708,2.74
1968-03-01,0,0.328341034068,-0.337533819999976,0.99280649295173,2.69
1968-03-02,0,0.57650941791,1.22716450200005,0.978043571123452,2.65
1968-03-03,0,0.755771455311,2.38383725600005,1.00018795386587,2.71
1968-03-04,0,0.949188298477,3.89180194800002,1.00018795386587,2.71
1968-03-05,0.0224782053014,1.20267437031,5.84086850600005,1.00018795386587,2.71
1968-03-06,0.00997313398408,1.71677890794,5.13111471900004,1.00387868432294,2.72
1968-03-07,0,1.26558404567,2.29666531399999,0.9964972234088,2.7
1968-03-08,0,1.11374218433,3.08675933400002,0.9964972234088,2.7
1968-03-09,0,0.992451126957,5.15047686700001,0.98911576249466,2.68
1968-03-10,0.579959376438,0.822367284205,5.62338676900004,0.978043571123452,2.65
1968-03-11,0,1.34148192302,7.31464082799999,0.981734301580521,2.66
1968-03-12,0,0.80960935122,5.46991003800002,0.98911576249466,2.68
1968-03-13,0.299151451699,1.40257335844,6.76313244000005,0.981734301580521,2.66
1968-03-14,0.935678074504,1.09505637693,5.123200758,0.981734301580521,2.66
1968-03-15,0.233676516391,1.30412008442,5.03866680200002,0.978043571123452,2.65
1968-03-16,1.66354644239,1.0897648799,3.67423566000002,0.952208457923964,2.58
1968-03-17,2.15486890304,1.94018330099,5.39792343100004,0.959589918838103,2.6
1968-03-18,0.149041783507,2.01355627811,6.209916126,0.955899188381034,2.59
1968-03-19,2.67886112138,1.05534494904,6.47567640700004,0.948517727466895,2.57
1968-03-20,5.28577827053,1.93356891318,7.61001082300004,0.966971379752243,2.62
1968-03-21,4.42659959125,0.816035613353,4.91554383100004,1.00756941478001,2.73
1968-03-22,2.77640706607,1.52398206042,5.20372700200005,0.959589918838103,2.6
1968-03-23,0.865455012094,0,7.89919169400002,0.978043571123452,2.65
1968-03-24,8.182585863,1.69112326882,10.400138663,0.974352840666382,2.64
1968-03-25,2.00092179789,1.78256093475,8.080637852,0.952208457923964,2.58
1968-03-26,0,1.67327220306,7.93346861500004,0.904228961982059,2.45
1968-03-27,0,2.19209600011,9.61636904800002,0.89315677061085,2.42
1968-03-28,0,2.12012154715,9.45068317100004,0.900538231524989,2.44
1968-03-29,0.00604205331986,1.93789461474,12.896097132,0.89315677061085,2.42
1968-03-30,1.12031732854,0.670493914451,7.53472673200002,0.834105083297736,2.26
1968-03-31,0,1.40330723354,6.35443046500001,0.819342161469458,2.22
1968-04-01,0.133650634096,1.33949193913,8.17996820900004,0.823032891926527,2.23
1968-04-02,3.53164960422,0.698399333211,2.63985727800002,0.826723622383597,2.24
1968-04-03,0.086494537848,1.53067294034,2.65343614700004,0.811960700555318,2.2
1968-04-04,0,1.36839367094,3.73908617400002,0.79350704826997,2.15
1968-04-05,0,1.52847171139,2.34228896100001,0.789816317812901,2.14
1968-04-06,0,1.74513383345,2.881402192,0.778744126441692,2.11
1968-04-07,0.00129738248474,1.12953615395,3.53153070900004,0.782434856898761,2.12
1968-04-08,0,1.64998557351,2.27589962100001,0.778744126441692,2.11
1968-04-09,0.00216383926029,1.61669750131,4.55904356100001,0.760290474156344,2.06
1968-04-10,0,1.3197522184,4.36998782500001,0.756599743699274,2.05
1968-04-11,0.00129738248474,1.53842916117,2.73717532500001,0.756599743699274,2.05
1968-04-12,0.0134964362532,2.17777982109,4.41561147200002,0.752909013242204,2.04
1968-04-13,0,1.51739634064,4.86295319300001,0.749218282785135,2.03
1968-04-14,0,2.44976780218,7.53606263500001,0.738146091413926,2
1968-04-15,1.92436188038,2.31967070608,9.000551272,0.734455360956856,1.99
1968-04-16,7.16558587278,1.26949029567,9.79989515700004,0.763981204613413,2.07
1968-04-17,3.64065831491,2.18636265874,10.841037608,0.752909013242204,2.04
1968-04-18,7.74280499277,1.83807240936,12.155803571,0.767671935070483,2.08
1968-04-19,0.486934899696,1.86162801635,10.453997565,0.760290474156344,2.06
1968-04-20,0.618928670412,2.08403880462,13.1935808980001,0.741836821870995,2.01
1968-04-21,0.212144935633,2.9090663365,14.938541667,0.723383169585647,1.96
1968-04-22,0.226619313223,1.23981109223,9.83417207799999,0.712310978214438,1.93
1968-04-23,3.80117015537,1.96546770897,10.381317641,0.719692439128578,1.95
1968-04-24,0,2.18463002655,10.231493506,0.708620247757369,1.92
1968-04-25,0,2.49918434837,10.529788961,0.664331482272533,1.8
1968-04-26,0.0862269578164,2.62212209991,10.17907197,0.679094404100812,1.84
1968-04-27,5.83354009951,1.86089982202,11.564725379,0.69754805638616,1.89
1968-04-28,9.2725640197,2.07023019502,11.089515693,0.686475865014951,1.86
1968-04-29,10.4367928966,1.26892472965,8.48665110900004,0.79350704826997,2.15
1968-04-30,4.05824055121,1.42599289139,8.23523065500001,0.730764630499786,1.98
1968-05-01,0.700107664551,1.87310830649,9.01788419900004,0.730764630499786,1.98
1968-05-02,2.12765980824,1.71326859379,8.10302692100004,0.69385732592909,1.88
1968-05-03,0.579322121343,2.01400624725,9.67388054700001,0.682785134557881,1.85
1968-05-04,2.57601729379,1.49640632398,7.95078463200002,0.682785134557881,1.85
1968-05-05,1.92757459143,3.046682911,8.75682494599999,0.660640751815464,1.79
1968-05-06,9.13254515231,1.96465694543,7.85409226199999,0.704929517300299,1.91
1968-05-07,1.50314309016,1.42976201045,7.04954004300004,0.69754805638616,1.89
1968-05-08,5.09101683252,0.686472773036,6.76484036800002,0.69754805638616,1.89
1968-05-09,1.04895276264,1.40699431184,9.29553233200005,0.660640751815464,1.79
1968-05-10,5.86280625644,1.82166689918,9.63870738600002,0.682785134557881,1.85
